 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,Ethylene carbonate,C3H4O3,88.016,8,7303,,,C20363,,,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,3-Hydroxypropenoate,C3H4O3,88.016,8,449065,,,C12069,,69288,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,2-hydroxyacrylic Acid,C3H4O3,88.01604399,8,37873,HMDB0062676,,,,,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,Glucosereductone,C3H4O3,88.01604399,8,4451502,HMDB0040261,,,,94790,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,Malonic semialdehyde,C3H4O3,88.01604399,8,868,HMDB0011111,,C00222,,61978,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,Pyruvic acid,C3H4O3,88.01604399,8,1060,HMDB0000243,LMFA01060077,C00022,,117,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,"Acetic acid, hydroxy-, methyl ester",C3H6O3,90.03169405,9,,,,,,334143,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,"1,3,5-Trioxane",C3H6O3,90.03169405,9,,,,,,270566,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,D-(+)-Glyceraldehyde,C3H6O3,90.03169406,9,79014,,,,,63095,-1
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0,89.02360249,Ã_Â_-lactic acid,C3H6O3,90.03169406,9,,,,,,35392,-1
